idx,raw_dtw,emb_dtw,emb_cam_dtw,is_event,date
54,1.9543999862670898,0.8335212693933487,0.9664304834323371,0,2023-07-06
55,1.746296211525246,1.3057501156296174,1.5566692610587465,0,2023-07-07
56,1.7576922269967885,1.5624064826011226,1.8702749875415081,0,2023-07-10
57,1.8955998992919922,1.5013292267559413,1.8445910539039583,0,2023-07-11
58,1.8531999206542968,1.56924535525421,1.9940048428962576,0,2023-07-12
59,1.7657691882206843,1.6160145475099166,2.0896527063205976,0,2023-07-13
60,1.7051851837723344,1.2447238685819182,1.6644871507853687,0,2023-07-14
61,1.6242857319968091,0.8725412672401448,1.1715983429847525,0,2023-07-17
62,1.5441379875972354,0.6700431686649209,0.8687677833462432,0,2023-07-18
63,1.486666742960612,0.5354657969784252,0.6353727865392388,0,2023-07-19
64,1.4450000762939452,0.5180861334304225,0.6331200733903891,0,2023-07-20
65,1.4160000801086425,0.4669461449294506,0.5886890639903022,0,2023-07-21
66,1.5167857578822546,0.4902344360759788,0.6153946549004256,0,2023-07-24
67,1.5896296677766022,0.5051177833233558,0.6451594021244197,0,2023-07-25
68,1.6665384952838604,0.5504454554130235,0.6886851833038343,0,2023-07-26
69,1.7640000534057618,0.5419080810195538,0.6669804614638948,0,2023-07-27
70,1.6857692645146296,0.5559241819216014,0.6628342462640915,0,2023-07-28
71,1.7820000457763672,0.6500208045933136,0.7613044597366055,0,2023-07-31
72,1.816400032043457,0.7825054715263375,0.914880833374083,0,2023-08-01
73,1.8220000076293945,1.080495784296501,1.198017685546154,0,2023-08-02
74,1.6881481806437175,1.4281889070057718,1.694711810937636,0,2023-08-03
75,1.7769230695871205,1.5924271270287391,2.0014798249095707,0,2023-08-04
76,1.9015999984741212,1.760670440137845,2.314120434593471,0,2023-08-07
77,1.90560001373291,1.926754854615448,2.458291602690902,0,2023-08-08
78,1.86439998626709,2.068444103177588,2.5565942405267648,0,2023-08-09
79,1.7059999465942386,1.7317232982870028,2.286283480481481,0,2023-08-10
80,1.5023076350872333,1.5323220974692506,1.980898926217651,0,2023-08-11
81,1.2826921389653134,1.2136916582630712,1.5532320515224005,0,2023-08-14
82,1.142692089080811,0.9401818806607183,1.1574008828676552,0,2023-08-15
83,1.0603843835683973,0.8558662117415434,1.0451301895504586,0,2023-08-16
84,1.0887997436523442,1.0222016920706798,1.2925145706333196,0,2023-08-17
