date,is_event,concept,sign_score,positive_mass,mean_dd,cam_weighted_pos_mass
2024-03-08,0,0,0.0,0.0,-0.0010842409526322602,0.0
2024-03-11,0,0,0.0,0.0,-0.0010215121261268494,0.0
2024-03-12,0,0,0.0,0.0,-0.0010614517859149843,0.0
2024-03-13,0,0,0.0,0.0,-0.0009334424715459547,0.0
2024-03-14,0,0,0.0,0.0,-0.0009419434024866889,0.0
2024-03-15,0,0,0.0,0.0,-0.0009530393333746773,0.0
2024-03-18,0,0,0.0,0.0,-0.0009557729780760908,0.0
2024-03-19,0,0,0.0,0.0,-0.0009471101664588501,0.0
2024-03-20,0,0,0.0,0.0,-0.0008655197026708344,0.0
2024-03-21,0,0,0.0,0.0,-0.0005456240209964509,0.0
2024-03-22,0,0,0.0,0.0,-0.0006431776731222118,0.0
2024-03-25,0,0,0.0,0.0,-0.0005927569222500641,0.0
2024-03-26,0,0,0.0,0.0,-0.0006159390736666783,0.0
2024-03-27,0,0,0.0,0.0,-0.0007333147137107592,0.0
2024-03-28,0,0,0.0,0.0,-0.0005790619385359874,0.0
2024-03-29,0,0,0.0,0.0,-0.0006820163164201189,0.0
2024-04-01,0,0,0.0,0.0,-0.0006872346594362776,0.0
2024-04-02,0,0,0.0,0.0,-0.0010763260245934545,0.0
2024-04-03,0,0,0.0,0.0,-0.0010985701579430776,0.0
2024-04-04,0,0,0.0,0.0,-0.0010876523225996227,0.0
2024-04-05,0,0,0.0,0.0,-0.001057434178502869,0.0
2024-04-08,0,0,0.0,0.0,-0.0011653478206016079,0.0
2024-04-09,0,0,0.0,0.0,-0.001163233607762226,0.0
2024-04-10,0,0,0.0,0.0,-0.001487887009450173,0.0
2024-04-11,0,0,0.0,0.0,-0.001273292779317014,0.0
2024-04-12,0,0,0.0,0.0,-0.0016224408789339323,0.0
2024-04-15,0,0,0.0,0.0,-0.0014917120445140063,0.0
2024-04-16,0,0,0.0,0.0,-0.001484000963476834,0.0
2024-04-17,0,0,0.0,0.0,-0.0020471404050186825,0.0
2024-04-18,0,0,0.0,0.0,-0.0021433872137098737,0.0
2024-04-19,0,0,0.0,0.0,-0.0027142676435439645,0.0
2024-04-22,0,0,0.0,0.0,-0.0022311512121849044,0.0
2024-04-23,0,0,0.0,0.0,-0.0027079175521094695,0.0
2024-04-24,0,0,0.0,0.0,-0.0025908506749910167,0.0
2024-04-25,0,0,0.0,0.0,-0.0023909662626463925,0.0
2024-04-26,0,0,0.0,0.0,-0.002196882355261375,0.0
2024-04-29,0,0,0.0,0.0,-0.001983871298508581,0.0
2024-04-30,0,0,0.0,0.0,-0.0010880814836771887,0.0
2024-05-01,0,0,0.0,0.0,-0.0018153255879934226,0.0
2024-05-02,0,0,0.0,0.0,-0.0017331825182915228,0.0
2024-05-03,0,0,0.0,0.0,-0.001501394098752057,0.0
2024-05-06,0,0,0.0,0.0,-0.001143856259104212,0.0
2024-05-07,0,0,0.0,0.0,-0.0012270052509157046,0.0
2024-05-08,0,0,0.0,0.0,-0.0013156479633709747,0.0
2024-05-09,0,0,0.0,0.0,-0.0014184403064591892,0.0
2024-05-10,0,0,0.0,0.0,-0.0015228636498203641,0.0
2024-05-13,0,0,0.0,0.0,-0.0015983910553451649,0.0
2024-05-14,0,0,0.0,0.0,-0.0018934783510723987,0.0
2024-05-15,0,0,0.0,0.0,-0.0018635193909816623,0.0
2024-05-16,0,0,0.0,0.0,-0.0013901151493004539,0.0
2024-05-17,0,0,0.0,0.0,-0.0016250812482724469,0.0
2024-05-20,0,0,0.0,0.0,-0.0013105743369444271,0.0
2024-05-21,0,0,0.0,0.0,-0.0012378328444685564,0.0
2024-05-22,0,0,0.0,0.0,-0.0011245006381294664,0.0
2024-05-23,0,0,0.0,0.0,-0.001295516525023406,0.0
2024-05-24,0,0,0.0,0.0,-0.001737973784059954,0.0
2024-05-27,0,0,0.0,0.0,-0.0013201156854473622,0.0
2024-05-28,0,0,0.0,0.0,-0.0014408613926596636,0.0
2024-05-29,0,0,0.0,0.0,-0.0014269321192274898,0.0
2024-05-30,0,0,0.0,0.0,-0.0009923070564465952,0.0
2024-05-31,0,0,0.0,0.0,-0.0007723350672667907,0.0
2024-06-03,0,0,0.0,0.0,-0.001180154250494085,0.0
2024-06-04,0,0,0.0,0.0,-0.0011592625675322114,0.0
2024-06-05,0,0,0.0,0.0,-0.0011560424237219327,0.0
2024-06-06,0,0,0.0,0.0,-0.001154028276029565,0.0
2024-06-07,0,0,0.0,0.0,-0.0011555810845640293,0.0
2024-06-10,0,0,0.0,0.0,-0.001169906937782996,0.0
2024-06-11,0,0,0.0,0.0,-0.0011382267391197543,0.0
2024-06-12,0,0,0.0,0.0,-0.0011080122998340092,0.0
2024-06-13,0,0,0.0,0.0,-0.0011187088300896736,0.0
2024-06-14,0,1,0.0,0.0,-0.0010733021186764724,0.0
2024-06-17,0,0,0.0,0.0,-0.0011199874452533674,0.0
2024-06-18,0,0,0.0,0.0,-0.0011143915575614082,0.0
2024-06-19,0,0,0.0,0.0,-0.001066544532502397,0.0
2024-06-20,0,0,0.0,0.0,-0.0010659938610651921,0.0
2024-06-21,0,0,0.0,0.0,-0.0010956950134107875,0.0
2024-06-24,0,0,0.0,0.0,-0.0010599115499142667,0.0
2024-06-25,0,0,0.0,0.0,-0.0010182388443389647,0.0
